=== Episode: 10x10_karmasik_ep0 (D3QN) ===
Start: (5, 3) | Goal: (1, 3)
Step  | Robot      | Action     | Mode    | Reward  | Total   | Dyn Obs Positions
96    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -18.50  | (3, 4), (5, 5)
97    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 3.75    | (4, 4), (5, 6)
98    | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -20.50  | (4, 4), (5, 6)
99    | (3, 3)     | (-1, 1)    | A*      | 22.25   | 1.75    | (3, 4), (5, 5)
100   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -22.50  | (2, 4), (5, 5)
101   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -0.25   | (1, 4), (5, 6)
102   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -24.50  | (1, 4), (5, 6)
103   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -2.25   | (2, 4), (5, 5)
104   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -26.50  | (3, 4), (5, 5)
105   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -4.25   | (4, 4), (5, 6)
106   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -28.50  | (4, 4), (5, 6)
107   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -6.25   | (3, 4), (5, 5)
108   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -30.50  | (2, 4), (5, 5)
109   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -8.25   | (1, 4), (5, 6)
110   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -32.50  | (1, 4), (5, 6)
111   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -10.25  | (2, 4), (5, 5)
112   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -34.50  | (3, 4), (5, 5)
113   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -12.25  | (4, 4), (5, 6)
114   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -36.50  | (4, 4), (5, 6)
115   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -14.25  | (3, 4), (5, 5)
116   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -38.50  | (2, 4), (5, 5)
117   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -16.25  | (1, 4), (5, 6)
118   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -40.50  | (1, 4), (5, 6)
119   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -18.25  | (2, 4), (5, 5)
120   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -42.50  | (3, 4), (5, 5)
121   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -20.25  | (4, 4), (5, 6)
122   | (4, 2)     | (1, -1)    | D3QN    | -24.25  | -44.50  | (4, 4), (5, 6)
123   | (3, 3)     | (-1, 1)    | A*      | 22.25   | -22.25  | (3, 4), (5, 5)
